"","nom_commune","HTP","CH.Haguenau","CH.Colmar","CH.Mulhouse","CH.Belfort","CH.Epinal","Bar.le.Duc","CH.Forbach","CH.Metz..Mercy.","CHU.Nancy..Central.","choix","choix2"
"742","Bartenheim",75.8,94.7,37.4,21.3,42,104.8,197.9,139.6,160.4,143,"CH.Mulhouse","CH.Mulhouse"
"72","Diebolsheim",38.1,56.9,44,65.9,84.1,116.3,181.4,104.6,125.3,126.4,"HTP","HTP"
"315","Rauwiller",49.1,45.2,91.1,114.2,132.4,100.1,125.5,47.6,68.4,70.6,"CH.Haguenau","CH.Forbach"
"682","Moosch",88.4,107.3,43.5,30.7,37.9,65.5,160.5,152.2,141.7,104.3,"CH.Mulhouse","CH.Mulhouse"
"1","Strasbourg",6.4,23,52.5,75.6,93.8,121.7,153.1,70.7,91.4,98.2,"HTP","HTP"
"60","Bernardswiller",23.2,42.1,35.5,58.6,76.8,104.7,168.3,85.9,106.6,113.4,"HTP","HTP"
"81","Gerstheim",25.7,44.6,46.4,69.5,87.7,115.6,174.7,92.2,113,119.7,"HTP","HTP"
"104","Meistratzheim",21.5,40.3,38.8,61.9,80.1,108,167.7,85.3,106,112.8,"HTP","HTP"
"152","Dachstein",18.8,38.8,45.6,68.7,86.9,114.6,155.5,73.1,93.8,100.6,"HTP","HTP"
"158","Duttlenheim",17.1,36,38,61.1,79.3,107.2,163.7,81.2,102,108.7,"HTP","HTP"
"163","Fouday",48.6,67.4,52.9,76,94.2,79,136.2,102.8,117.4,81.2,"HTP","HTP"
"166","Gresswiller",25.1,44,45.5,68.5,86.8,106.1,161.2,78.8,99.5,106.3,"HTP","HTP"
"174","Marlenheim",16.5,36.5,52.1,75.2,93.4,119,147.1,64.7,85.4,92.2,"HTP","HTP"
"184","Oberhaslach",33.8,52.7,54.2,77.3,95.5,102.7,159.9,79.4,100.1,104.9,"HTP","HTP"
"191","Rothau",43.5,62.3,58.5,81.6,99.8,85.1,142.3,97.7,118.5,87.4,"HTP","HTP"
"201","Solbach",51.2,70.1,55.5,78.6,96.8,82.6,139.8,105.5,121,84.8,"HTP","HTP"
"207","Triembach-au-Val",37.3,56.2,29.4,52.5,70.7,88,153.1,101.2,121.9,98.1,"CH.Colmar","CH.Colmar"
"228","Bischholtz",43,29.9,89.1,112.2,130.4,133.2,158.7,73.9,94.7,103.7,"CH.Haguenau","HTP"
"233","Bust",45.6,41.7,87.6,110.7,128.9,106.1,131.5,42.6,63.4,76.6,"CH.Haguenau","CH.Forbach"
"245","Durstel",52.4,48.5,94.4,117.5,135.7,112.9,138.4,40.6,61.3,83.4,"CH.Forbach","CH.Forbach"
"273","Hohengoeft",24.8,30.6,59,82.1,100.3,117,142.4,60,80.8,87.5,"HTP","HTP"
"274","Hohfrankenheim",22.7,19.9,71,94.1,112.3,118.3,143.7,61.3,82,88.8,"CH.Haguenau","HTP"
"322","Ringendorf",27.5,23.4,73.6,96.7,114.9,120.2,145.6,63.2,83.9,90.7,"CH.Haguenau","HTP"
"330","Schaffhouse-sur-Zorn",21.5,20.6,70.6,93.6,111.9,117.9,143.3,60.9,81.7,88.4,"CH.Haguenau","HTP"
"338","Siltzheim",64.9,61,106.9,130,148.2,127.8,134.2,25,53.7,90.8,"CH.Forbach","CH.Forbach"
"344","Uttwiller",32.1,28.2,78.2,101.3,119.5,120.3,145.8,62.8,83.6,90.8,"CH.Haguenau","HTP"
"347","Waldhambach",58.9,54.9,101.2,124.3,142.5,119.7,145.2,44.3,65,90.2,"CH.Forbach","CH.Forbach"
"362","Zittersheim",52.7,48.8,98.8,121.9,140.1,123.8,149.2,57.4,78.2,94.3,"CH.Haguenau","HTP"
"378","Gumbrechtshoffen",36,20.3,82.1,105.2,123.4,131.8,157.3,74.8,95.6,102.3,"CH.Haguenau","HTP"
"385","Ingolsheim",43.6,25.8,89.7,112.8,131,143.6,169.1,86.6,107.4,114.1,"CH.Haguenau","HTP"
"390","Lampertsloch",43.5,25.7,89.6,112.7,130.9,143.6,169,86.4,107.3,114.1,"CH.Haguenau","HTP"
"419","Rothbach",41.9,30.7,88,111,129.3,130.9,156.4,71.4,92.1,101.4,"CH.Haguenau","HTP"
"422","Schaffhouse-près-Seltz",32.3,29.2,78.4,101.5,119.7,141.3,166.8,84.3,105.1,111.8,"CH.Haguenau","HTP"
"466","Kaltenhouse",28.2,9.8,74.3,97.4,115.6,128.5,153.9,71.5,92.2,99,"CH.Haguenau","HTP"
"491","Stattmatten",28.1,25,74.2,97.3,115.5,137.1,162.6,80.2,100.9,107.7,"CH.Haguenau","HTP"
"512","Grussenheim",52.1,70.9,18.9,40.8,59.1,103.6,174.2,115.9,136.6,119.2,"CH.Colmar","CH.Colmar"
"533","Aubure",58.9,77.8,30.2,56.9,74.4,87,152.1,122.7,133.3,97.1,"CH.Colmar","CH.Colmar"
"543","Guémar",38.8,57.6,15.3,38.4,56.6,95.8,160.8,102.6,123.3,105.9,"CH.Colmar","CH.Colmar"
"559","Lièpvre",43.7,62.5,30.5,53.6,71.8,76.1,141.1,107.5,122.4,86.2,"CH.Colmar","CH.Colmar"
"561","Metzeral",73,91.9,27,57.7,69.7,79.2,173.6,136.9,154.9,117.4,"CH.Colmar","CH.Colmar"
"574","Rombach-le-Franc",46.8,65.6,33.6,56.7,74.9,79.8,144.8,110.6,126.1,89.9,"CH.Colmar","CH.Colmar"
"575","Rorschwihr",39.2,58,19.5,42.6,60.8,90.9,156,103,123.8,101,"CH.Colmar","CH.Colmar"
"577","Sainte-Croix-aux-Mines",50.5,69.3,37.3,60.4,78.6,74.2,139.3,114.3,120.5,84.3,"CH.Colmar","CH.Colmar"
"582","Soultzbach-les-Bains",61.1,79.9,15,45.7,57.7,79.4,173.8,124.9,145.6,117.6,"CH.Colmar","CH.Colmar"
"596","Altenach",90.6,109.4,48.8,29.8,26.2,99.4,194.4,154.4,175.2,138.2,"CH.Belfort","CH.Belfort"
"625","Eglingen",83.5,102.4,41.8,22.4,27.3,93.5,188.5,147.4,168.1,132.3,"CH.Mulhouse","CH.Mulhouse"
"688","Oberlarg",107.1,126,68.7,46.3,49.6,114.6,209.7,170.9,190.9,153.5,"CH.Mulhouse","CH.Mulhouse"
"716","Spechbach-le-Haut",81.1,100,39.4,17.8,24.9,91.1,186.1,145,165.7,129.9,"CH.Mulhouse","CH.Mulhouse"
"760","Koetzingue",83.1,101.9,44.7,13.5,41.3,103.5,198.6,146.9,167.6,142.4,"CH.Mulhouse","CH.Mulhouse"
"819","Berrwiller",71,89.9,26.1,22.5,29.9,86.5,181.5,134.9,155.6,125.3,"CH.Mulhouse","CH.Mulhouse"
"830","Hartmannswiller",70,88.9,25,21.5,31,87.5,182.5,133.8,154.6,126.3,"CH.Mulhouse","CH.Mulhouse"
"839","Munchhouse",66.2,85,27.8,24.9,43.2,105.9,188.3,130,150.7,133.3,"CH.Mulhouse","CH.Mulhouse"
"843","Niederhergheim",53.3,72.2,14.9,26.6,44.8,100.3,175.4,117.1,137.9,120.5,"CH.Colmar","CH.Colmar"
"16","Entzheim",13.6,32.8,41.9,64.9,83.2,111,162.8,80.4,101.1,107.9,"HTP","HTP"
"28","Innenheim",14.6,33.5,43.1,66.2,84.4,112.3,163.5,81.1,101.8,108.6,"HTP","HTP"
"36","Mittelhausbergen",5.9,23.1,55,78.1,96.3,124.2,153.2,70.7,91.5,98.2,"HTP","HTP"
"47","Reichstett",10,18.4,56.1,79.2,97.4,123.1,148.5,66.1,86.8,93.6,"HTP","HTP"
"55","Wolfisheim",6.9,27,48.4,71.5,89.7,117.6,157,74.6,95.3,102.1,"HTP","HTP"
"56","Artolsheim",47.4,66.2,30.6,52.5,70.7,104.3,169.4,111.2,132,114.5,"CH.Colmar","CH.Colmar"
"70","Dambach-la-Ville",36.7,55.5,31.6,54.7,72.9,97.7,162.8,100.5,121.3,107.9,"CH.Colmar","CH.Colmar"
"83","Goxwiller",21.3,40.1,32.4,55.5,73.7,101.6,166.7,85.1,105.8,111.7,"HTP","HTP"
"87","Hessenheim",44,62.9,30.3,53.4,71.6,101,166.1,107.9,128.6,111.1,"CH.Colmar","CH.Colmar"
