,X,HTP,CH_Haguenau,CH_Colmar,CH_Mulhouse,CH_Belfort,CH_Epinal,Bar_le_Duc,CH_Forbach,CH_Metz__Mercy_,CHU_Nancy__Central_,choix1,choix2,choix3
93,ACHENHEIM,9,"29,8",50,"73,3","91,3","119,3","156,6","74,1","95,1","101,7",HTP,HTP,"CH,Haguenau"
223,ADAMSWILLER,"57,6",53,"97,7","121,1","139,1","116,5","142,8",42,"62,7","88,1","CH,Forbach","CH,Forbach","CH,Haguenau"
699,ALBE,"40,6","60,1","33,9","57,3","75,3","88,9","153,8","103,2","123,9","99,1","CH,Colmar","CH,Colmar",HTP
598,ALGOLSHEIM,"59,6","79,1","21,3","38,5","56,6","106,4","181,7","122,2",143,"126,8","CH,Colmar","CH,Colmar","CH,Mulhouse"
413,ALTECKENDORF,"23,3","17,6","69,3","92,7","110,7","114,3","140,8","58,3",79,"85,9","CH,Haguenau",HTP,HTP
827,ALTENACH,"93,4",113,"51,6","32,6","27,8","101,1","196,1",156,"176,8",140,"CH,Belfort","CH,Belfort","CH,Mulhouse"
279,ALTENHEIM,29,"29,5","64,9","88,3","106,3","112,2","138,6","56,2","76,9","83,8",HTP,HTP,"CH,Haguenau"
837,ALTKIRCH,"86,2","105,7","47,6","18,9","33,4","99,7","194,7","148,8","169,6","138,6","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
857,ALTORF,"20,1","39,6","40,2","63,5","81,6","109,5","160,3","77,8","98,5","105,4",HTP,HTP,"CH,Haguenau"
655,ALTWILLER,"60,8","56,2","100,9","124,3","142,3","117,8","138,7","39,8","60,5","76,1","CH,Forbach","CH,Forbach","CH,Haguenau"
400,AMMERSCHWIHR,"52,6","72,1","8,8","39,3","53,1","83,6","162,7","115,2",136,"107,9","CH,Colmar","CH,Colmar","CH,Mulhouse"
621,ANDLAU,"27,4",47,"33,9","57,2","75,2","100,7","164,1","90,1","110,8","109,2",HTP,HTP,"CH,Colmar"
814,ANDOLSHEIM,"49,4",69,"11,1","31,8","49,8","96,2","171,5",112,"132,8","116,7","CH,Colmar","CH,Colmar","CH,Mulhouse"
