"","CHU de Nancy-Brabois","CHU de Nancy","Nancy","Hôpital de Mercy","Metz","Epinal","SteAnne","HTP","NHC","SteOdile","CH Haguenau","CH Wissembourg","CH Saverne","CH Selestat","StLuc","CH Colmar","CH Guebwiller","CH Thann","CH Altkirch","CH Mulhouse","3Frontières","Diaconat-Fonderie","CH Epinal","CH St Dié"
"CHU de Nancy-Brabois",0,10,12,42,43,51,103,101,102,103,97,128,75,102,84,117,134,126,153,142,151,139,52,64
"CHU de Nancy",10,0,4,38,40,51,104,102,102,104,98,128,76,103,85,118,135,127,154,143,152,140,53,65
"Nancy",11,4,0,36,38,53,106,104,104,106,100,130,78,105,87,120,137,129,156,145,154,142,55,67
"Hôpital de Mercy",43,39,37,0,3,88,105,103,103,105,99,129,79,128,121,143,161,163,180,167,176,164,89,102
"Metz",45,41,39,4,0,89,105,103,104,106,100,130,79,128,121,143,161,165,181,168,177,165,91,103
"Epinal",50,51,53,86,88,0,123,119,117,116,123,154,101,87,82,87,95,79,106,99,115,95,2,49
"SteAnne",101,102,105,104,104,124,0,9,9,9,27,55,38,42,44,57,75,86,94,81,90,78,125,76
"HTP",100,101,104,103,103,119,9,0,5,7,26,56,34,37,39,52,70,82,90,77,86,74,120,72
"NHC",100,101,104,103,103,118,8,5,0,3,26,56,36,36,39,51,69,81,89,76,85,73,119,71
"SteOdile",101,103,106,105,105,118,9,7,3,0,28,58,38,36,38,51,69,80,88,75,84,72,119,70
"CH Haguenau",95,96,99,98,98,123,27,26,26,28,0,37,32,58,61,73,91,103,111,98,107,95,124,93
"CH Wissembourg",125,127,129,128,128,153,56,56,56,58,37,0,62,89,91,104,122,133,141,128,137,125,154,123
"CH Saverne",74,75,78,79,79,101,38,34,36,38,33,63,0,54,47,69,87,99,107,94,103,91,103,83
"CH Selestat",103,104,107,128,128,88,41,37,35,35,58,88,54,0,44,23,41,52,60,47,56,44,89,41
"StLuc",83,85,87,120,121,82,44,40,38,38,61,91,48,44,0,60,78,89,97,84,93,81,83,38
"CH Colmar",119,120,123,143,144,87,56,52,50,50,73,103,70,22,60,0,22,34,48,35,44,32,87,57
"CH Guebwiller",135,136,139,161,161,96,73,69,67,67,90,120,87,40,77,22,0,18,33,20,35,17,96,73
"CH Thann",125,126,129,162,163,79,85,81,79,79,102,132,99,52,89,34,19,0,28,21,37,17,79,75
"CH Altkirch",152,153,156,181,181,106,94,90,88,87,110,141,107,60,98,49,34,28,0,18,25,17,106,94
"CH Mulhouse",143,145,147,168,168,101,81,77,75,75,98,128,95,47,85,36,21,23,18,0,25,5,101,81
"3Frontières",151,153,155,176,176,116,89,85,83,83,106,136,103,55,93,44,35,38,25,25,0,23,116,89
"Diaconat-Fonderie",141,143,145,166,166,97,79,75,73,73,96,126,92,45,83,33,17,18,17,5,24,0,97,79
"CH Epinal",50,51,54,87,88,1,123,119,117,116,124,154,102,87,83,86,95,78,105,98,114,94,1,49
"CH St Dié",65,66,69,101,103,49,76,72,70,70,93,123,84,41,38,56,73,74,94,81,90,78,50,0
