"","HTP","CH Haguenau","CH Colmar","CH Mulhouse","CH Belfort","CH Epinal","Bar-le-Duc","CH Forbach","CH Metz (Mercy)","CHU Nancy (Central)"
"Strasbourg",6.4,23,52.5,75.6,93.8,121.7,153.1,70.7,91.4,98.2
"Strasbourg",6.4,23,52.5,75.6,93.8,121.7,153.1,70.7,91.4,98.2
"Bischheim",8.7,22.2,54.8,77.9,96.1,124,152.2,69.8,90.5,97.3
"Hoenheim",8.7,22.2,54.8,77.9,96.1,124,152.2,69.8,90.5,97.3
"Schiltigheim",5.4,22.4,51.5,74.6,92.8,120.7,152.5,70.1,90.8,97.6
"Strasbourg",6.4,23,52.5,75.6,93.8,121.7,153.1,70.7,91.4,98.2
"Achenheim",8.3,28.4,50.3,73.4,91.6,119.5,156.9,74.4,95.2,101.9
"Berstett",15.3,21,64.4,87.5,105.7,127.7,153.2,70.8,91.5,98.3
"Blaesheim",17.1,36,41.9,65,83.2,111.1,166.1,83.6,104.4,111.1
"Breuschwickersheim",11.8,31.8,49.3,72.4,90.6,118.5,155.5,73,93.8,100.5
"Dingsheim",8.9,24.9,57,80.1,98.3,126.2,155,72.6,93.3,100.1
"Dossenheim-Kochersberg",16.2,33.5,56.7,79.8,98,125.7,152.9,70.5,91.2,98
"Duppigheim",16.2,35.1,41.3,64.3,82.6,110.4,163.2,80.8,101.5,108.3
"Durningen",18.9,25.7,64.8,87.9,106.1,123,148.4,66,86.7,93.5
"Eckbolsheim",5.2,26.2,50.3,73.4,91.6,119.5,156.2,73.8,94.6,101.3
"Entzheim",13.6,32.8,41.9,64.9,83.2,111,162.8,80.4,101.1,107.9
"Eschau",14.2,33.1,47,70,88.2,116.1,163.2,80.7,101.5,108.2
"Fegersheim",13.8,32.7,44.3,67.3,85.6,113.4,162.7,80.3,101,107.8
"Fessenheim-le-Bas",16.9,36.3,57.5,80.6,98.8,124.6,150.2,67.7,88.5,95.2
"Furdenheim",13.5,33.5,52.6,75.7,93.9,121.6,151.1,68.7,89.4,96.2
"Geispolsheim",12.1,31,43.6,66.6,84.8,112.7,161,78.6,99.3,106.1
"Gougenheim",18.2,24,67.4,90.5,108.7,121.3,146.8,64.3,85.1,91.8
"Handschuheim",12.3,32.3,54.1,77.2,95.4,123.1,152.9,70.4,91.2,97.9
"Hangenbieten",16.8,36.8,46.8,69.9,88.1,116,161.8,79.4,100.2,106.9
"Holtzheim",13.5,32.6,45.2,68.2,86.5,114.4,162.7,80.2,101,107.8
"Hurtigheim",9.2,29.3,54.6,77.7,95.9,123.8,155.9,73.5,94.2,101
"Illkirch-Graffenstaden",9.3,28.1,46,69.1,87.3,115.2,158.2,75.8,96.5,103.3
"Innenheim",14.6,33.5,43.1,66.2,84.4,112.3,163.5,81.1,101.8,108.6
"Ittenheim",10,30,52.4,75.5,93.7,121.6,152.9,70.4,91.2,98
"Kienheim",17.9,27.6,66.5,89.6,107.8,124.9,150.3,67.9,88.6,95.4
"Kolbsheim",13.7,33.8,45.8,68.9,87.1,115,158.8,76.3,97.1,103.8
"Kuttolsheim",19,34.7,59.2,82.3,100.5,123.1,148.6,66.1,86.9,93.6
"Lampertheim",11.1,20.2,57.5,80.6,98.8,124.8,150.3,67.8,88.6,95.3
"Lingolsheim",8,28.2,48.2,71.3,89.5,117.4,158.2,75.8,96.5,103.3
"Lipsheim",15.1,34,45.2,68.3,86.5,114.4,164.1,81.6,102.4,109.1
"Mittelhausbergen",5.9,23.1,55,78.1,96.3,124.2,153.2,70.7,91.5,98.2
"Mundolsheim",11.1,20.2,57.5,80.6,98.8,124.8,150.3,67.8,88.6,95.3
"Niederhausbergen",5.9,23.1,55,78.1,96.3,124.2,153.2,70.7,91.5,98.2
"Oberhausbergen",6.6,26.1,54.2,77.3,95.5,123.4,156.2,73.7,94.5,101.2
"Oberschaeffolsheim",8.3,28.4,50.3,73.4,91.6,119.5,156.9,74.4,95.2,101.9
"Osthoffen",16.3,36.3,48.5,71.6,89.8,117.5,154.2,71.8,92.5,99.3
"Ostwald",9.3,28.5,47.1,70.2,88.4,116.3,158.6,76.1,96.9,103.6
"Pfettisheim",11.8,26,61,84,102.3,126,151.5,69,89.8,96.5
"Pfulgriesheim",9.2,23.5,58.3,81.4,99.6,127.5,153.5,71.1,91.8,98.6
"Plobsheim",15.6,34.5,47.1,70.2,88.4,116.3,164.6,82.1,102.9,109.6
"Quatzenheim",16.2,33.5,56.7,79.8,98,125.7,152.9,70.5,91.2,98
"Reichstett",10,18.4,56.1,79.2,97.4,123.1,148.5,66.1,86.8,93.6
"Rohr",18.5,23.4,66.2,89.3,107.5,120.7,146.2,63.7,84.5,91.2
"Schnersheim",17.3,29.6,61.3,84.4,102.6,125.5,150.9,68.5,89.2,96
"Souffelweyersheim",9.1,19.7,55.1,78.2,96.4,124.3,149.7,67.3,88,94.8
"Truchtersheim",16.5,28,61.3,84.4,102.6,127.4,152.9,70.4,91.2,97.9
"Willgottheim",21.2,30.7,62.3,85.4,103.6,119.1,144.6,62.1,82.9,89.6
"Wintzenheim-Kochersberg",18.9,32.4,59.1,82.2,100.4,120.8,146.2,63.8,84.6,91.3
"Wiwersheim",13.7,30.5,56.5,79.5,97.8,125.5,152.9,70.4,91.2,97.9
"Wolfisheim",6.9,27,48.4,71.5,89.7,117.6,157,74.6,95.3,102.1
"Artolsheim",47.4,66.2,30.6,52.5,70.7,104.3,169.4,111.2,132,114.5
"Baldenheim",43.6,62.5,29.9,53,71.2,100.6,165.7,107.5,128.2,110.7
"Barr",26.8,45.7,33.3,56.4,74.6,102.4,167.5,90.6,111.4,112.5
"Benfeld",26,44.8,34,57.1,75.3,103.2,168.2,92.5,113.2,113.3
"Bernardswiller",23.2,42.1,35.5,58.6,76.8,104.7,168.3,85.9,106.6,113.4
"Bernardvillé",30.2,49,36.3,59.4,77.6,96.8,161.8,94,114.7,106.9
"Bindernheim",40.9,59.7,39.6,62.7,80.9,108.8,173.8,106.4,127.2,118.9
"Blienschwiller",33.9,52.8,31.2,54.2,72.5,96.8,161.8,97.7,118.5,106.9
