EU_circo,code_région,nom_région,chef-lieu_région,numéro_département,nom_département,préfecture,numéro_circonscription,nom_commune,codes_postaux,code_insee,latitude,longitude,éloignement
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,1,Strasbourg,67000,67482,48.583333,7.75,1.04
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,2,Strasbourg,67000,67482,48.583333,7.75,1.04
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,3,Bischheim,67800,67043,48.616667,7.75,1.04
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,3,Hoenheim,67800,67204,48.616667,7.75,1.04
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,3,Schiltigheim,67300,67447,48.6,7.75,1.04
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,3,Strasbourg,67000,67482,48.583333,7.75,1.04
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Achenheim,67204,67001,48.583333,7.633333,0.5
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Berstett,67370,67034,48.683333,7.666667,1.59
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Blaesheim,67113,67049,48.5,7.6,0.94
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Breuschwickersheim,67112,67065,48.583333,7.6,0.5
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Dingsheim,67370,67097,48.633333,7.666667,1.67
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Dossenheim-Kochersberg,67117,67102,48.633333,7.566667,0.67
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Duppigheim,67120,67108,48.533333,7.583333,1.43
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Durningen,67270,67109,48.683333,7.566667,1.33
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Eckbolsheim,67201,67118,48.583333,7.683333,0.7
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Entzheim,67960,67124,48.533333,7.633333,0.77
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Eschau,67114,67131,48.483333,7.716667,1.03
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Fegersheim,67640,67137,48.483333,7.683333,1.03
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Fessenheim-le-Bas,67117,67138,48.633333,7.533333,1.75
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Furdenheim,67117,67150,48.616667,7.566667,0.38
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Geispolsheim,67400,67152,48.516667,7.65,1
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Gougenheim,67270,67163,48.7,7.566667,0.97
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Griesheim-sur-Souffel,67370,67173,,,
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Handschuheim,67117,67181,48.6,7.583333,0.79
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Hangenbieten,67980,67182,48.566667,7.6,0.59
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Holtzheim,67810,67212,48.55,7.633333,0.68
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Hurtigheim,67117,67214,48.616667,7.616667,1.57
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Illkirch-Graffenstaden,67400,67218,48.533333,7.716667,1
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Innenheim,67880,67223,48.5,7.566667,1
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Ittenheim,67117,67226,48.6,7.6,1.18
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Kienheim,67270,67236,48.683333,7.583333,1.41
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Kolbsheim,67120,67247,48.566667,7.583333,1.45
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Kuttolsheim,67520,67253,48.65,7.533333,1.91
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Lampertheim,67450,67256,48.65,7.7,0.79
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Lingolsheim,67380,67267,48.566667,7.683333,0.7
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Lipsheim,67640,67268,48.483333,7.666667,2
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Mittelhausbergen,67206,67296,48.616667,7.7,0.79
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Mundolsheim,67450,67309,48.65,7.7,0.79
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Neugartheim-Ittlenheim,67370,67228,,,
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Niederhausbergen,67207,67326,48.616667,7.7,0.79
Est,42,Alsace,Strasbourg,67,Bas-Rhin,Strasbourg,4,Oberhausbergen,67205,67343,48.616667,7.683333,0.7
